2026-07-15 20:13:54 | INFO | BI | === RUN START ===
2026-07-15 20:13:54 | INFO | BI | project=BI
2026-07-15 20:13:54 | INFO | BI | repo_dir=bintel-03-cleaning
2026-07-15 20:13:54 | INFO | BI | python=3.14.6
2026-07-15 20:13:54 | INFO | BI | os=Windows 11
2026-07-15 20:13:54 | INFO | BI | shell=powershell
2026-07-15 20:13:54 | INFO | BI | cwd=.
2026-07-15 20:13:54 | INFO | BI | github_actions=False
2026-07-15 20:13:54 | INFO | BI | ========================
2026-07-15 20:13:54 | INFO | BI | START main()
2026-07-15 20:13:54 | INFO | BI | ========================
2026-07-15 20:13:54 | INFO | BI | Raw data:  = data\raw
2026-07-15 20:13:54 | INFO | BI | Customers: = data\raw\customers_data.csv
2026-07-15 20:13:54 | INFO | BI | Products:  = data\raw\products_data.csv
2026-07-15 20:13:54 | INFO | BI | Sales:     = data\raw\sales_data.csv
2026-07-15 20:13:54 | INFO | BI | CALL a function to load each dataset.............
2026-07-15 20:13:54 | INFO | BI | Loading customers from data\raw\customers_data.csv
2026-07-15 20:13:54 | INFO | BI | Loaded: 201 rows, 6 columns
2026-07-15 20:13:54 | INFO | BI | Loading products from data\raw\products_data.csv
2026-07-15 20:13:54 | INFO | BI | Loaded: 100 rows, 6 columns
2026-07-15 20:13:54 | INFO | BI | Loading sales from data\raw\sales_data.csv
2026-07-15 20:13:54 | INFO | BI | Loaded: 2400 rows, 9 columns
2026-07-15 20:13:54 | INFO | BI | CALL a function to get sales by region........
2026-07-15 20:13:54 | INFO | BI | Aggregating sales by region
2026-07-15 20:13:54 | INFO | BI |   Top region: East ($1,234,686.51)
2026-07-15 20:13:54 | INFO | BI | Returning DataFrame with total sales by region
2026-07-15 20:13:54 | INFO | BI | CALL a function to plot sales by region........
2026-07-15 20:13:54 | INFO | BI | Creating chart: Total Sales by Region
2026-07-15 20:13:55 | INFO | BI | CALL a function to get sales by product category........
2026-07-15 20:13:55 | INFO | BI | Aggregating sales by product category
2026-07-15 20:13:55 | INFO | BI |   Top category: Office ($1,420,376.39)
2026-07-15 20:13:55 | INFO | BI | CALL a function to plot sales by product category........
2026-07-15 20:13:55 | INFO | BI | Creating chart: Total Sales by Product Category
2026-07-15 20:13:55 | INFO | BI | CALL a function to summarize the datasets........
2026-07-15 20:13:55 | INFO | BI | ========================
2026-07-15 20:13:55 | INFO | BI | SUMMARY
2026-07-15 20:13:55 | INFO | BI | ========================
2026-07-15 20:13:55 | INFO | BI | Customers:  201 rows, 6 columns
2026-07-15 20:13:55 | INFO | BI | Products:   100 rows, 6 columns
2026-07-15 20:13:55 | INFO | BI | Sales:      2400 rows, 9 columns
2026-07-15 20:13:55 | INFO | BI | ========================
